store,websites,attribute_set,type,category_ids,sku,has_options,upc_code,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,image_label,small_image_label,thumbnail_label,brand,bedding_pattern,priceper,averageweight,price,special_price,weight,msrp,gift_wrapping_price,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,blacknwhite_prcustom,blacknwhite_prtabs,blacknwhite_prrelatedcontent,manufacturer_info,cooking,freezing,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,country_of_manufacture,custom_design,gift_wrapping_available,gift_message_available,color,homeware_style,material,bed_bath_type,decor_type,home_decor_type,blacknwhite_prsku,blacknwhite_prlayout,blacknwhite_prprevnext,blacknwhite_prmoreviews,blacknwhite_prrelated,blacknwhite_relatedpos,blacknwhite_prcolleteral,blacknwhite_productimg,blacknwhite_prbrand,blacknwhite_prbrandlink,blacknwhite_prbrandtarget,blacknwhite_prbrandpos,blacknwhite_prsidebar
admin,base,Grocery,simple,"4,12,48",gro0401,0,6810000068,SWEET'N SOUR SAUCE EASY SQUEEZE 295 ML KOSHER,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,,,,Enabled,No,"Catalog, Search",Taxable Goods,STICKER,STICKER,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,SWEET'N SOUR SAUCE EASY SQUEEZE 295 ML KOSHER,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,50",gro0402,0,6810000272,MILD CHEDDAR 10 SNACKS,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.21,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MILD CHEDDAR 10 SNACKS,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,45",gro0403,0,6810000301,MEDIUM CHEDDAR 10 SNACKS,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.21,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MEDIUM CHEDDAR 10 SNACKS,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,49",gro0404,0,6810000302,MARBLE CHEDDAR 10 SNACKS,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.21,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MARBLE CHEDDAR 10 SNACKS,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,44",gro0405,0,6810000350,EXTRA CHEDDAR 8 THICK SLICES,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.25,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,EXTRA CHEDDAR 8 THICK SLICES,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,42",gro0406,0,6810000351,EXTRA CHEDDAR 16 THICK SLICES,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.5,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,EXTRA CHEDDAR 16 THICK SLICES,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,41",gro0407,0,6810000452,GRATED PARMESAN,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.125,,,Enabled,No,"Catalog, Search",Taxable Goods,CHEESE,CHEESE,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,GRATED PARMESAN,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,10,48",gro0408,0,6672101775,STONED WHEAT THINS ORIGINAL 300 G PACKS,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.6,,,Enabled,No,"Catalog, Search",Taxable Goods,CRACKERS,CRACKERS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,STONED WHEAT THINS ORIGINAL 300 G PACKS,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,11,50",gro0409,0,6672112761,STONED WHEAT THINS,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.3,,,Enabled,No,"Catalog, Search",Taxable Goods,CRACKERS,CRACKERS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,STONED WHEAT THINS,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,"4,12,45",gro0410,0,6672112776,STONED WHEAT THINS,,,,,,,,,1 column,Product Info Column,Use config,Use config,,,,KRAFT,,,,35.55,,0.325,,,Enabled,No,"Catalog, Search",Taxable Goods,CRACKERS,CRACKERS,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,STONED WHEAT THINS,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
