_store,_product_websites,_attribute_set,_type,group_flavor,_category,sku,has_options,upc_code,name,bringg_user,image,small_image,thumbnail,gallery,url_key,url_path,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,image_label,small_image_label,thumbnail_label,brand,bedding_pattern,priceper,averageweight,price,unit,special_price,weight,msrp,gift_wrapping_price,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,manufacturer_info,cooking,freezing,special_from_date,special_to_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,country_of_manufacture,custom_design,gift_wrapping_available,gift_message_available,color,homeware_style,material,bed_bath_type,decor_type,home_decor_type
,base,Grocery,simple,1,FOOD,gro0001,0,6618800870,100% PURE,Kitchen,,,,,100-pure,100-pure-923.html,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,lb,,0.17,,,1,No,4,2,BITTERSWEET CHOCOLATE SQUARES,BITTERSWEET CHOCOLATE SQUARES,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Appetizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Appetizers/Sub 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,1,FOOD,gro0002,0,6618800780,100% PURE,,,,,,100-pure,100-pure-924.html,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,,,0.3,,,1,No,4,2,MILK CHOCOLATE CHIPS,MILK CHOCOLATE CHIPS,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,1,FOOD,gro0003,0,6618800940,100% PURE,,,,,,100-pure,100-pure-925.html,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,,,0.3,,,1,No,4,2,SEMI-SWEET CHOCOLATE CHIPS,SEMI-SWEET CHOCOLATE CHIPS,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Breads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,1,FOOD,gro0004,0,6618800800,100% PURE,,,,,,100-pure,100-pure-926.html,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,lb,,0.225,,,1,No,4,2,SEMI-SWEET CHOCOLATE SQUARES,SEMI-SWEET CHOCOLATE SQUARES,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE,0,simple,,,,,,,,,,,,
,,,,,FOOD/Frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Fruits & Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base,Grocery,simple,1,FOOD,gro0005,0,6618800790,100% PURE INDIVIDUALLY WRAPED,,,,,,100-pure-individually-wraped,100-pure-individually-wraped.html,1 column,Product Info Column,Use config,Use config,,,,BAKER'S,,,,35.55,,,0.225,,,1,No,4,2,SWEET CHOCOLATE SQUARES ,SWEET CHOCOLATE SQUARES ,,,KRAFT CANADA,Content will be updated,Content will be updated,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,100% PURE INDIVIDUALLY WRAPED,0,simple,,,,,,,,,,,,
,,,,,FOOD/Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FOOD/Deli cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
